Primary_Language,Secondary_Language,Lang_3,Lang_4,Lang_5,Lang_6,framework,Best_fit_Job
JavaScript,C/C++,,Java,,Python,React,Front-End Developer
C/C++,SQL,HTML/CSS,Swift,JavaScript,,None,Mobile App Developer (iOS)
C/C++,Python,,JavaScript,,,None,Game Developer
Python,Swift,,,,JavaScript,None,Mobile App Developer (iOS)
Python,Java,Swift,,,,None,Mobile App Developer (iOS)
JavaScript,Python,,,,HTML/CSS,React,Front-End Developer
C#,JavaScript,,,Python,,None,Game Developer
C/C++,C#,,SQL,,HTML/CSS,None,Database Administrator
JavaScript,Java,,,,,None,Front-End Developer
Python,C/C++,SQL,HTML/CSS,,,None,Database Administrator
C#,Python,,,C/C++,Java,None,Game Developer
C/C++,JavaScript,,Python,C#,,None,Game Developer
C#,HTML/CSS,,,Swift,,React,Mobile App Developer (iOS)
C/C++,Kotlin,Python,,,,React,Mobile App Developer (Android)
C#,,Swift,,,JavaScript,None,Mobile App Developer (iOS)
C/C++,JavaScript,,,,,None,Game Developer
C/C++,PHP,,,Java,C#,None,Game Developer
C/C++,Kotlin,Python,,,,React,Mobile App Developer (Android)
C/C++,SQL,Java,,JavaScript,,None,Database Administrator
Python,HTML/CSS,,C#,,Java,None,Cybersecurity Analyst
Java,HTML/CSS,,,,Python,None,Mobile App Developer (Android)
Java,C/C++,C#,,,Kotlin,React,Mobile App Developer (Android)
JavaScript,Java,HTML/CSS,,Swift,,None,Mobile App Developer (iOS)
Java,Python,,C/C++,Swift,HTML/CSS,None,Mobile App Developer (iOS)
C/C++,PHP,Python,C#,,SQL,None,Database Administrator
Python,C#,C/C++,Java,HTML/CSS,,None,Cybersecurity Analyst
C/C++,Python,,Kotlin,PHP,,None,Mobile App Developer (Android)
Python,SQL,,,,Swift,React,Mobile App Developer (iOS)
Python,Java,Swift,Kotlin,,,None,Mobile App Developer (iOS)
JavaScript,Java,,,,,React,Front-End Developer
Java,PHP,,,,Python,None,Mobile App Developer (Android)
Python,C#,Java,HTML/CSS,,,None,Cybersecurity Analyst
C#,C/C++,HTML/CSS,,Kotlin,JavaScript,None,Mobile App Developer (Android)
C#,Java,,,,,None,Game Developer
Python,JavaScript,,,,,None,Cybersecurity Analyst
JavaScript,C/C++,,Python,Java,,React,Front-End Developer
C#,C/C++,,SQL,,HTML/CSS,None,Database Administrator
C#,C/C++,Swift,,SQL,,None,Mobile App Developer (iOS)
C#,Python,,JavaScript,,Kotlin,None,Mobile App Developer (Android)
C/C++,C#,SQL,,,,None,Database Administrator
Java,PHP,Python,SQL,,,None,Mobile App Developer (Android)
JavaScript,,,PHP,Swift,,None,Mobile App Developer (iOS)
Java,Python,C/C++,C#,,HTML/CSS,None,Mobile App Developer (Android)
C/C++,SQL,C#,,Java,Swift,None,Mobile App Developer (iOS)
C#,,HTML/CSS,,,,None,Game Developer
JavaScript,Java,,,C/C++,,React,Front-End Developer
JavaScript,Python,Swift,,Java,,None,Mobile App Developer (iOS)
C#,,,,Swift,PHP,React,Mobile App Developer (iOS)
Java,C/C++,,,,,None,Mobile App Developer (Android)
C/C++,C#,SQL,HTML/CSS,,,None,Database Administrator
C/C++,SQL,,,C#,,None,Database Administrator
C/C++,HTML/CSS,,Python,C#,,None,Game Developer
C/C++,JavaScript,,,PHP,Swift,None,Mobile App Developer (iOS)
Python,Kotlin,,,,HTML/CSS,None,Mobile App Developer (Android)
C#,C/C++,PHP,HTML/CSS,Swift,Kotlin,None,Mobile App Developer (iOS)
Python,PHP,SQL,,,Swift,None,Mobile App Developer (iOS)
C#,,,,HTML/CSS,,None,Game Developer
Java,HTML/CSS,,Kotlin,,PHP,None,Mobile App Developer (Android)
C/C++,PHP,JavaScript,,Kotlin,SQL,React,Mobile App Developer (Android)
C/C++,Python,,,,,None,Game Developer
Python,HTML/CSS,,,,,None,Cybersecurity Analyst
C#,SQL,,Kotlin,Java,,None,Mobile App Developer (Android)
Python,Java,HTML/CSS,C#,,C/C++,None,Cybersecurity Analyst
C/C++,,Swift,Python,HTML/CSS,SQL,React,Mobile App Developer (iOS)
Python,SQL,,Java,HTML/CSS,,None,Database Administrator
Java,JavaScript,C#,,,,None,Mobile App Developer (Android)
C/C++,Java,Swift,Kotlin,,C#,None,Mobile App Developer (iOS)
C/C++,Python,SQL,,Swift,,React,Mobile App Developer (iOS)
JavaScript,C/C++,,C#,,,None,Front-End Developer
C/C++,Java,,,,,None,Game Developer
C#,HTML/CSS,,Swift,,,React,Mobile App Developer (iOS)
C/C++,SQL,PHP,Python,,JavaScript,None,Database Administrator
JavaScript,SQL,,C#,,PHP,None,Database Administrator
C#,JavaScript,,PHP,,,None,Game Developer
C/C++,SQL,,,,,None,Database Administrator
C#,,,,,,None,Game Developer
C#,,Kotlin,,,C/C++,None,Mobile App Developer (Android)
C/C++,,SQL,Java,Kotlin,HTML/CSS,React,Mobile App Developer (Android)
Python,C#,HTML/CSS,,,Java,None,Cybersecurity Analyst
C/C++,PHP,HTML/CSS,,,,None,Game Developer
Python,C#,,,,,None,Cybersecurity Analyst
Python,Java,C#,,Kotlin,,None,Mobile App Developer (Android)
C#,Java,,,Kotlin,,None,Mobile App Developer (Android)
Java,JavaScript,HTML/CSS,,,Kotlin,React,Mobile App Developer (Android)
C#,PHP,JavaScript,,SQL,Kotlin,React,Mobile App Developer (Android)
Java,JavaScript,Swift,C#,,,None,Mobile App Developer (iOS)
C/C++,Java,,,PHP,,None,Game Developer
C/C++,Swift,PHP,JavaScript,,HTML/CSS,None,Mobile App Developer (iOS)
C/C++,HTML/CSS,C#,,,,None,Game Developer
JavaScript,,,HTML/CSS,C/C++,,React,Front-End Developer
Java,,,HTML/CSS,,PHP,None,Mobile App Developer (Android)
C#,Python,,,,Swift,None,Mobile App Developer (iOS)
JavaScript,C#,,,,,None,Front-End Developer
Python,HTML/CSS,Kotlin,,,PHP,React,Mobile App Developer (Android)
C#,Python,SQL,PHP,,,None,Database Administrator
Java,Python,Kotlin,,,C#,React,Mobile App Developer (Android)
C#,SQL,,,PHP,,None,Database Administrator
Python,PHP,SQL,,,,None,Database Administrator
JavaScript,SQL,,,C/C++,,None,Database Administrator
JavaScript,Kotlin,HTML/CSS,SQL,,C#,None,Mobile App Developer (Android)
C/C++,HTML/CSS,,,,,None,Game Developer
C/C++,Python,,,,PHP,None,Game Developer
Java,SQL,,,,,None,Mobile App Developer (Android)
C#,PHP,,HTML/CSS,,,None,Game Developer
C/C++,Swift,HTML/CSS,,,Java,None,Mobile App Developer (iOS)
JavaScript,,,,C#,HTML/CSS,None,Front-End Developer
C#,,C/C++,Kotlin,,,None,Mobile App Developer (Android)
C/C++,Python,Swift,,PHP,,React,Mobile App Developer (iOS)
Java,SQL,,HTML/CSS,C#,Python,None,Mobile App Developer (Android)
C#,JavaScript,,,PHP,C/C++,None,Game Developer
Java,C/C++,,,,PHP,None,Mobile App Developer (Android)
JavaScript,HTML/CSS,,,,,None,Front-End Developer
C#,SQL,,Java,,Python,None,Database Administrator
C/C++,SQL,,HTML/CSS,,,None,Database Administrator
JavaScript,Java,,,PHP,,React,Front-End Developer
Python,,,,,JavaScript,None,Cybersecurity Analyst
C/C++,,,,Java,,None,Game Developer
Python,Kotlin,JavaScript,Java,C#,,None,Mobile App Developer (Android)
C#,PHP,,,Swift,,React,Mobile App Developer (iOS)
Python,Swift,,,,,None,Mobile App Developer (iOS)
Java,JavaScript,Kotlin,,,C#,None,Mobile App Developer (Android)
Java,C#,,SQL,,,None,Mobile App Developer (Android)
C#,SQL,PHP,C/C++,Java,,None,Database Administrator
C/C++,C#,,,Swift,Kotlin,None,Mobile App Developer (iOS)
Python,C#,JavaScript,Swift,Kotlin,SQL,None,Mobile App Developer (iOS)
Java,Python,,,Kotlin,,React,Mobile App Developer (Android)
C/C++,,,Java,PHP,,None,Game Developer
JavaScript,Swift,SQL,,,Kotlin,React,Mobile App Developer (iOS)
JavaScript,C/C++,,Java,,,React,Front-End Developer
JavaScript,Python,SQL,,Kotlin,,React,Mobile App Developer (Android)
Java,PHP,,,Python,,React,Mobile App Developer (Android)
C/C++,,Kotlin,C#,,,React,Mobile App Developer (Android)
C/C++,C#,,,Swift,SQL,React,Mobile App Developer (iOS)
Python,C#,,Java,,HTML/CSS,None,Cybersecurity Analyst
C#,,,,,,None,Game Developer
JavaScript,Swift,,C/C++,Python,,None,Mobile App Developer (iOS)
C#,C/C++,,PHP,,HTML/CSS,None,Game Developer
C/C++,SQL,,,,,None,Database Administrator
Java,JavaScript,,SQL,C#,,React,Mobile App Developer (Android)
C#,Kotlin,,,,,React,Mobile App Developer (Android)
Java,C#,HTML/CSS,,JavaScript,SQL,None,Mobile App Developer (Android)
Java,C#,Kotlin,Swift,Python,C/C++,React,Mobile App Developer (iOS)
C#,PHP,,,Kotlin,,React,Mobile App Developer (Android)
JavaScript,Kotlin,,C/C++,,,None,Mobile App Developer (Android)
C#,Kotlin,,C/C++,Swift,,None,Mobile App Developer (iOS)
Python,JavaScript,C/C++,,,,None,Cybersecurity Analyst
Java,Swift,,JavaScript,,,React,Mobile App Developer (iOS)
C/C++,,Python,,,,None,Game Developer
C/C++,C#,HTML/CSS,JavaScript,,,None,Game Developer
JavaScript,PHP,,,,,None,Front-End Developer
C#,PHP,,,Java,,None,Game Developer
JavaScript,Java,Python,Kotlin,Swift,,React,Mobile App Developer (iOS)
Java,C/C++,JavaScript,,Kotlin,,React,Mobile App Developer (Android)
C/C++,,,Python,HTML/CSS,,None,Game Developer
C/C++,SQL,Java,,,C#,None,Database Administrator
C/C++,Swift,Java,,,Python,None,Mobile App Developer (iOS)
Java,Swift,HTML/CSS,,,,None,Mobile App Developer (iOS)
JavaScript,PHP,,Swift,,,React,Mobile App Developer (iOS)
Python,,Kotlin,,,,None,Mobile App Developer (Android)
Python,Kotlin,,,,HTML/CSS,None,Mobile App Developer (Android)
C#,SQL,,,,Swift,None,Mobile App Developer (iOS)
Java,HTML/CSS,C#,,,,None,Mobile App Developer (Android)
Python,Swift,SQL,C#,,Java,None,Mobile App Developer (iOS)
Python,JavaScript,,C/C++,,,None,Cybersecurity Analyst
Java,C#,,,Python,,None,Mobile App Developer (Android)
Python,Java,,,,,None,Cybersecurity Analyst
Python,C#,Kotlin,,Java,,None,Mobile App Developer (Android)
C/C++,JavaScript,,,,,None,Game Developer
JavaScript,Swift,,,,,React,Mobile App Developer (iOS)
Python,SQL,Java,,,PHP,None,Database Administrator
Java,,,HTML/CSS,JavaScript,,React,Mobile App Developer (Android)
C#,Java,Python,HTML/CSS,,PHP,None,Game Developer
C/C++,Java,Python,,Kotlin,SQL,None,Mobile App Developer (Android)
Java,,,,,SQL,None,Mobile App Developer (Android)
Python,C/C++,,,HTML/CSS,,None,Cybersecurity Analyst
C/C++,Java,,Swift,HTML/CSS,,None,Mobile App Developer (iOS)
JavaScript,Java,SQL,Kotlin,,,None,Mobile App Developer (Android)
Java,Swift,JavaScript,C#,Python,C/C++,None,Mobile App Developer (iOS)
Python,JavaScript,Java,,C#,PHP,None,Cybersecurity Analyst
JavaScript,,,,PHP,,React,Front-End Developer
C/C++,HTML/CSS,JavaScript,,Kotlin,,React,Mobile App Developer (Android)
Java,C/C++,,,,,None,Mobile App Developer (Android)
C#,PHP,,,Kotlin,,React,Mobile App Developer (Android)
C#,Python,PHP,Java,Swift,,None,Mobile App Developer (iOS)
Java,C/C++,C#,,,Python,None,Mobile App Developer (Android)
C#,,Python,Java,,,None,Game Developer
Java,Kotlin,JavaScript,SQL,,,React,Mobile App Developer (Android)
C#,SQL,,Python,,PHP,None,Database Administrator
Java,Kotlin,,,,C/C++,None,Mobile App Developer (Android)
C/C++,Python,,HTML/CSS,,,None,Game Developer
C/C++,SQL,JavaScript,Swift,,,React,Mobile App Developer (iOS)
Java,SQL,C/C++,,,,None,Mobile App Developer (Android)
Python,Swift,C#,,,,None,Mobile App Developer (iOS)
Python,JavaScript,,,,Swift,React,Mobile App Developer (iOS)
Java,JavaScript,SQL,Python,,Swift,React,Mobile App Developer (iOS)
C/C++,Swift,HTML/CSS,C#,Kotlin,,None,Mobile App Developer (iOS)
Python,Java,C#,JavaScript,,HTML/CSS,None,Cybersecurity Analyst
C/C++,SQL,Python,,,,None,Database Administrator
Java,HTML/CSS,SQL,,C#,,React,Mobile App Developer (Android)
Python,C#,SQL,C/C++,Swift,Java,React,Mobile App Developer (iOS)
Java,C/C++,Python,,,C#,None,Mobile App Developer (Android)
C#,HTML/CSS,Swift,C/C++,,SQL,React,Mobile App Developer (iOS)
C#,C/C++,,Swift,,,None,Mobile App Developer (iOS)
JavaScript,Java,,C#,Kotlin,,React,Mobile App Developer (Android)
JavaScript,Kotlin,,,C#,,None,Mobile App Developer (Android)
JavaScript,Kotlin,Python,C#,,,None,Mobile App Developer (Android)
JavaScript,C/C++,SQL,,,Kotlin,None,Mobile App Developer (Android)
C/C++,HTML/CSS,Kotlin,Swift,,,React,Mobile App Developer (iOS)
JavaScript,,PHP,SQL,,,None,Database Administrator
JavaScript,Swift,Java,,,,None,Mobile App Developer (iOS)
C/C++,Kotlin,,SQL,PHP,,None,Mobile App Developer (Android)
JavaScript,PHP,,,,,React,Front-End Developer
Python,,Java,,,,None,Cybersecurity Analyst
Java,Kotlin,SQL,C/C++,,JavaScript,React,Mobile App Developer (Android)
Python,PHP,C/C++,,Kotlin,,None,Mobile App Developer (Android)
Java,JavaScript,,,,PHP,React,Mobile App Developer (Android)
C/C++,C#,,,HTML/CSS,Kotlin,React,Mobile App Developer (Android)
C#,HTML/CSS,,,,Java,None,Game Developer
JavaScript,SQL,Swift,,,Java,None,Mobile App Developer (iOS)
C#,JavaScript,,C/C++,,HTML/CSS,None,Game Developer
C/C++,Python,,PHP,Swift,,None,Mobile App Developer (iOS)
Java,JavaScript,,Kotlin,,,React,Mobile App Developer (Android)
JavaScript,Kotlin,Swift,,,C#,React,Mobile App Developer (iOS)
Python,PHP,,JavaScript,,,None,Cybersecurity Analyst
Python,PHP,,C/C++,,,None,Cybersecurity Analyst
C#,,,JavaScript,,,None,Game Developer
Python,SQL,Kotlin,,,JavaScript,None,Mobile App Developer (Android)
C/C++,,C#,,SQL,,None,Database Administrator
C#,Swift,,,C/C++,,None,Mobile App Developer (iOS)
C#,PHP,,,,Java,None,Game Developer
JavaScript,Kotlin,PHP,Swift,,SQL,React,Mobile App Developer (iOS)
Python,C#,,SQL,Java,C/C++,None,Database Administrator
C/C++,JavaScript,PHP,,,SQL,None,Database Administrator
JavaScript,SQL,,,Python,PHP,None,Database Administrator
JavaScript,C/C++,Python,Swift,,PHP,None,Mobile App Developer (iOS)
Python,SQL,,C/C++,,JavaScript,None,Database Administrator
Java,HTML/CSS,,,,,React,Mobile App Developer (Android)
Java,C/C++,,,,,None,Mobile App Developer (Android)
C/C++,Python,Swift,,,,React,Mobile App Developer (iOS)
Python,Java,Kotlin,,,Swift,None,Mobile App Developer (iOS)
C#,Kotlin,,,,,React,Mobile App Developer (Android)
C/C++,HTML/CSS,,,,,None,Game Developer
C/C++,Kotlin,,HTML/CSS,Java,,None,Mobile App Developer (Android)
JavaScript,PHP,,,,,React,Front-End Developer
C#,HTML/CSS,,,,SQL,None,Database Administrator
JavaScript,Python,Swift,Kotlin,Java,,None,Mobile App Developer (iOS)
C#,JavaScript,Java,,C/C++,HTML/CSS,None,Game Developer
JavaScript,Kotlin,,,,PHP,None,Mobile App Developer (Android)
Java,Swift,C#,Python,,,None,Mobile App Developer (iOS)
C#,Kotlin,Python,PHP,,SQL,React,Mobile App Developer (Android)
JavaScript,PHP,Python,C/C++,SQL,,None,Database Administrator
Java,Swift,,,Python,SQL,None,Mobile App Developer (iOS)
Java,JavaScript,,PHP,,,React,Mobile App Developer (Android)
Java,Swift,SQL,,,,None,Mobile App Developer (iOS)
Python,C#,C/C++,,,SQL,None,Database Administrator
Python,Kotlin,,JavaScript,,,None,Mobile App Developer (Android)
C#,Swift,HTML/CSS,SQL,Python,C/C++,None,Mobile App Developer (iOS)
Python,PHP,HTML/CSS,,,,None,Cybersecurity Analyst
Java,SQL,HTML/CSS,,Swift,Python,React,Mobile App Developer (iOS)
Java,PHP,,Kotlin,,JavaScript,None,Mobile App Developer (Android)
JavaScript,,,,,C#,React,Front-End Developer
Java,Swift,,,,,None,Mobile App Developer (iOS)
C#,PHP,,,,JavaScript,None,Game Developer
C/C++,C#,,,SQL,HTML/CSS,None,Database Administrator
JavaScript,SQL,,,,Swift,React,Mobile App Developer (iOS)
C/C++,JavaScript,,,,Java,None,Game Developer
JavaScript,Python,,,,,None,Front-End Developer
C/C++,,PHP,HTML/CSS,Swift,SQL,None,Mobile App Developer (iOS)
Python,SQL,,,PHP,,None,Database Administrator
JavaScript,C/C++,,PHP,,,React,Front-End Developer
JavaScript,C/C++,,,Kotlin,,None,Mobile App Developer (Android)
JavaScript,C#,,,Java,,React,Front-End Developer
Python,SQL,,C/C++,,Java,None,Database Administrator
C#,PHP,,,JavaScript,HTML/CSS,None,Game Developer
Java,JavaScript,Kotlin,,PHP,,None,Mobile App Developer (Android)
JavaScript,Swift,C/C++,Python,HTML/CSS,SQL,React,Mobile App Developer (iOS)
Java,Swift,,SQL,,,None,Mobile App Developer (iOS)
Python,Swift,PHP,Java,SQL,Kotlin,None,Mobile App Developer (iOS)
C#,Python,Swift,HTML/CSS,Kotlin,SQL,React,Mobile App Developer (iOS)
Python,,,,C#,,None,Cybersecurity Analyst
Java,Kotlin,,,,HTML/CSS,None,Mobile App Developer (Android)
JavaScript,C/C++,,,Swift,,React,Mobile App Developer (iOS)
C/C++,Swift,,JavaScript,,,React,Mobile App Developer (iOS)
Python,Kotlin,HTML/CSS,,PHP,,None,Mobile App Developer (Android)
Python,C#,,,JavaScript,C/C++,None,Cybersecurity Analyst
Python,SQL,PHP,Kotlin,Java,C/C++,React,Mobile App Developer (Android)
C/C++,C#,,Java,,HTML/CSS,None,Game Developer
Java,Swift,JavaScript,C#,,,React,Mobile App Developer (iOS)
Python,SQL,,,,Kotlin,None,Mobile App Developer (Android)
C/C++,Java,,,C#,JavaScript,None,Game Developer
C#,Python,,Kotlin,,PHP,React,Mobile App Developer (Android)
C#,C/C++,,,,Swift,None,Mobile App Developer (iOS)
Java,Python,SQL,Swift,C#,,None,Mobile App Developer (iOS)
C/C++,SQL,Swift,,,,React,Mobile App Developer (iOS)
JavaScript,Java,Kotlin,,,,None,Mobile App Developer (Android)
JavaScript,Java,,,,,None,Front-End Developer
C/C++,Swift,SQL,,JavaScript,Python,None,Mobile App Developer (iOS)
JavaScript,SQL,,C/C++,HTML/CSS,Python,None,Database Administrator
Python,Java,C#,Swift,,Kotlin,None,Mobile App Developer (iOS)
C#,SQL,,,PHP,,None,Database Administrator
Python,Kotlin,,,Swift,,React,Mobile App Developer (iOS)
JavaScript,SQL,,,,,None,Database Administrator
Java,Kotlin,Swift,Python,HTML/CSS,JavaScript,None,Mobile App Developer (iOS)
JavaScript,C#,,,,,None,Front-End Developer
Java,,,,,Kotlin,React,Mobile App Developer (Android)
JavaScript,SQL,PHP,,,,None,Database Administrator
C/C++,SQL,C#,,Python,,None,Database Administrator
C/C++,Python,,,,,None,Game Developer
Python,C/C++,,,,,None,Cybersecurity Analyst
Java,SQL,,,,,React,Mobile App Developer (Android)
Python,,,SQL,Swift,Kotlin,None,Mobile App Developer (iOS)
C/C++,C#,,Swift,,Python,None,Mobile App Developer (iOS)
Java,SQL,JavaScript,,,,React,Mobile App Developer (Android)
Java,JavaScript,PHP,,C/C++,,React,Mobile App Developer (Android)
C#,Java,,Python,PHP,JavaScript,None,Game Developer
C/C++,Python,,,Kotlin,Java,None,Mobile App Developer (Android)
C/C++,Kotlin,,,,PHP,None,Mobile App Developer (Android)
C/C++,Java,PHP,SQL,,,None,Database Administrator
Python,C#,JavaScript,,C/C++,,None,Cybersecurity Analyst
JavaScript,SQL,Swift,Java,,,None,Mobile App Developer (iOS)
Java,JavaScript,,,,Swift,None,Mobile App Developer (iOS)
C#,Python,,HTML/CSS,,,None,Game Developer
C/C++,SQL,,,,,None,Database Administrator
Java,C/C++,,C#,,,React,Mobile App Developer (Android)
Python,SQL,,,,Java,None,Database Administrator
Java,Kotlin,,HTML/CSS,,,None,Mobile App Developer (Android)
C#,C/C++,Swift,,,,React,Mobile App Developer (iOS)
C/C++,Swift,PHP,HTML/CSS,Java,Kotlin,React,Mobile App Developer (iOS)
C#,,SQL,,,,None,Database Administrator
C#,HTML/CSS,Java,,,JavaScript,None,Game Developer
JavaScript,Python,,C/C++,,,None,Front-End Developer
C#,HTML/CSS,,,,Swift,None,Mobile App Developer (iOS)
C/C++,Python,,,,,None,Game Developer
Python,Kotlin,,,C/C++,,None,Mobile App Developer (Android)
Java,HTML/CSS,,,,C/C++,None,Mobile App Developer (Android)
Python,Kotlin,,,,C/C++,None,Mobile App Developer (Android)
JavaScript,PHP,SQL,Python,,C#,None,Database Administrator
C#,C/C++,,,SQL,,None,Database Administrator
C#,PHP,Java,SQL,JavaScript,,None,Database Administrator
C#,Swift,,Python,,,None,Mobile App Developer (iOS)
C#,Swift,,,,,None,Mobile App Developer (iOS)
Java,HTML/CSS,,Python,,PHP,React,Mobile App Developer (Android)
C#,Python,,,,Kotlin,None,Mobile App Developer (Android)
C#,JavaScript,,HTML/CSS,PHP,,None,Game Developer
C#,HTML/CSS,JavaScript,,,,None,Game Developer
C#,SQL,,Kotlin,,,React,Mobile App Developer (Android)
Java,HTML/CSS,,,JavaScript,,None,Mobile App Developer (Android)
C/C++,Swift,,C#,,,React,Mobile App Developer (iOS)
JavaScript,,Java,Python,C#,,React,Front-End Developer
Python,C/C++,,,,JavaScript,None,Cybersecurity Analyst
JavaScript,Python,C/C++,,,,React,Front-End Developer
C/C++,JavaScript,Kotlin,,,Swift,React,Mobile App Developer (iOS)
C#,JavaScript,,,,Python,None,Game Developer
Python,JavaScript,C#,,,C/C++,None,Cybersecurity Analyst
C/C++,HTML/CSS,,,C#,,None,Game Developer
C/C++,JavaScript,Swift,,C#,,None,Mobile App Developer (iOS)
JavaScript,Kotlin,SQL,,C#,,None,Mobile App Developer (Android)
Java,HTML/CSS,,SQL,Python,,None,Mobile App Developer (Android)
Python,SQL,Kotlin,PHP,,Java,None,Mobile App Developer (Android)
C#,Kotlin,Swift,,SQL,,None,Mobile App Developer (iOS)
Java,Kotlin,,,,C#,None,Mobile App Developer (Android)
JavaScript,HTML/CSS,SQL,,,,None,Database Administrator
C#,SQL,PHP,,,C/C++,None,Database Administrator
C/C++,JavaScript,,Java,,C#,None,Game Developer
C#,Python,,,C/C++,HTML/CSS,None,Game Developer
C/C++,JavaScript,Swift,,,,React,Mobile App Developer (iOS)
C#,C/C++,PHP,,HTML/CSS,Java,None,Game Developer
JavaScript,Java,HTML/CSS,SQL,Python,PHP,None,Database Administrator
C/C++,Java,,,,,None,Game Developer
C#,Java,,,,HTML/CSS,None,Game Developer
C#,Java,JavaScript,,Kotlin,,None,Mobile App Developer (Android)
JavaScript,C/C++,Java,C#,,SQL,None,Database Administrator
JavaScript,Python,,,,,React,Front-End Developer
JavaScript,Swift,Python,HTML/CSS,C#,,None,Mobile App Developer (iOS)
C#,JavaScript,HTML/CSS,,PHP,,None,Game Developer
C/C++,PHP,,,,,None,Game Developer
JavaScript,PHP,C#,,,Java,React,Front-End Developer
JavaScript,,SQL,C#,,C/C++,None,Database Administrator
C/C++,Python,HTML/CSS,PHP,,,None,Game Developer
JavaScript,C#,SQL,,Java,,None,Database Administrator
C#,Kotlin,,,Java,,React,Mobile App Developer (Android)
JavaScript,Swift,,HTML/CSS,,,React,Mobile App Developer (iOS)
Java,JavaScript,,,SQL,HTML/CSS,None,Mobile App Developer (Android)
JavaScript,C/C++,,,,,React,Front-End Developer
JavaScript,HTML/CSS,,PHP,,,React,Front-End Developer
C#,Swift,,JavaScript,Java,,None,Mobile App Developer (iOS)
JavaScript,Java,SQL,,,HTML/CSS,None,Database Administrator
C#,HTML/CSS,,,,Swift,React,Mobile App Developer (iOS)
JavaScript,C/C++,,,Kotlin,,None,Mobile App Developer (Android)
JavaScript,PHP,,,HTML/CSS,,React,Front-End Developer
C/C++,PHP,,Python,,,None,Game Developer
Java,Kotlin,,,Python,SQL,None,Mobile App Developer (Android)
JavaScript,PHP,C#,HTML/CSS,Python,,React,Front-End Developer
JavaScript,Kotlin,Swift,,,,React,Mobile App Developer (iOS)
Java,SQL,,,,,React,Mobile App Developer (Android)
Java,C#,JavaScript,Kotlin,,,None,Mobile App Developer (Android)
JavaScript,SQL,,,,,None,Database Administrator
JavaScript,HTML/CSS,SQL,,Java,Kotlin,None,Mobile App Developer (Android)
Python,SQL,,Kotlin,Swift,,None,Mobile App Developer (iOS)
Python,Java,,,JavaScript,Swift,None,Mobile App Developer (iOS)
JavaScript,C#,Java,,C/C++,,React,Front-End Developer
Java,C#,,,Kotlin,,None,Mobile App Developer (Android)
JavaScript,PHP,C#,,C/C++,Kotlin,None,Mobile App Developer (Android)
Java,Kotlin,Swift,,,,None,Mobile App Developer (iOS)
Python,C#,,,,,None,Cybersecurity Analyst
C#,HTML/CSS,,,,,None,Game Developer
Python,SQL,,,,,None,Database Administrator
C/C++,SQL,PHP,HTML/CSS,,,None,Database Administrator
Java,PHP,Kotlin,,Swift,,React,Mobile App Developer (iOS)
Java,Python,JavaScript,,,,React,Mobile App Developer (Android)
Java,SQL,,,,Kotlin,None,Mobile App Developer (Android)
JavaScript,Java,,Python,,PHP,React,Front-End Developer
JavaScript,Kotlin,,,,,None,Mobile App Developer (Android)
C/C++,HTML/CSS,,SQL,,,None,Database Administrator
Python,PHP,C/C++,,,,None,Cybersecurity Analyst
C/C++,HTML/CSS,SQL,Java,,,None,Database Administrator
JavaScript,SQL,,,,,None,Database Administrator
Java,C#,,PHP,,,None,Mobile App Developer (Android)
C#,PHP,,,,,None,Game Developer
Java,SQL,HTML/CSS,C#,PHP,C/C++,React,Mobile App Developer (Android)
JavaScript,PHP,C#,,,C/C++,React,Front-End Developer
Python,HTML/CSS,C/C++,JavaScript,PHP,,None,Cybersecurity Analyst
JavaScript,,,,C#,,React,Front-End Developer
C/C++,SQL,,Swift,,,None,Mobile App Developer (iOS)
C/C++,HTML/CSS,,Swift,,,React,Mobile App Developer (iOS)
JavaScript,Kotlin,,,,C#,React,Mobile App Developer (Android)
C/C++,C#,Python,,,,None,Game Developer
Java,JavaScript,,,Kotlin,,None,Mobile App Developer (Android)
Python,C#,,,,,None,Cybersecurity Analyst
Java,Python,C/C++,,Kotlin,,None,Mobile App Developer (Android)
JavaScript,,HTML/CSS,,,,None,Front-End Developer
Python,HTML/CSS,,,,PHP,None,Cybersecurity Analyst
JavaScript,C#,PHP,,,,React,Front-End Developer
JavaScript,Kotlin,,,,C/C++,React,Mobile App Developer (Android)
C/C++,Java,,,,,None,Game Developer
JavaScript,HTML/CSS,C/C++,Python,Java,,React,Front-End Developer
JavaScript,HTML/CSS,,,Swift,,React,Mobile App Developer (iOS)
C/C++,PHP,,,C#,Kotlin,React,Mobile App Developer (Android)
JavaScript,SQL,,,C#,Swift,None,Mobile App Developer (iOS)
C/C++,Swift,PHP,SQL,,,React,Mobile App Developer (iOS)
JavaScript,Python,,HTML/CSS,Kotlin,,React,Mobile App Developer (Android)
C#,Java,,,,SQL,None,Database Administrator
Java,Python,Swift,C#,Kotlin,SQL,None,Mobile App Developer (iOS)
C#,PHP,,,,,None,Game Developer
C#,,,JavaScript,,,None,Game Developer
C/C++,HTML/CSS,SQL,,Java,,None,Database Administrator
Java,Swift,,,,,React,Mobile App Developer (iOS)
Python,C/C++,,,PHP,Kotlin,None,Mobile App Developer (Android)
Python,Kotlin,C#,PHP,,JavaScript,React,Mobile App Developer (Android)
C/C++,SQL,,,,,None,Database Administrator
